id,usager_id,maison_fs_id,date_demande,type_service,organisme_concerne,canal,duree_traitement,satisfaction_score,resolu,conseiller_id,complexite,suivi_necessaire
1,1552,168,2025-01-15 06:16:58.110702,logement,cnav,numerique,42,5,False,287,simple,False
2,2604,28,2024-09-03 15:42:02.747152,retraite,caf,visio,16,3,False,204,simple,True
3,1017,253,2025-02-12 03:36:38.551208,sante,pole_emploi,numerique,54,5,False,759,simple,True
4,3139,284,2025-06-09 09:57:40.651118,acces_droit,cnav,visio,63,2,True,201,simple,True
5,1786,291,2024-07-30 16:02:10.623750,logement,caf,physique,97,3,True,785,moyen,True
6,318,267,2024-11-04 12:38:28.816384,famille,justice,physique,74,1,True,934,simple,True
7,3326,264,2025-05-16 12:46:04.897550,energie,la_poste,physique,102,4,True,1053,simple,False
8,4243,119,2025-06-29 09:38:41.360044,famille,justice,telephone,92,1,True,728,simple,False
9,1293,220,2024-11-09 01:54:36.196054,energie,la_poste,physique,17,5,False,703,complexe,False
10,3353,225,2025-07-08 19:12:32.946949,logement,la_poste,physique,35,1,True,437,simple,False
11,752,291,2025-02-01 23:01:26.705685,services_postaux,pole_emploi,telephone,67,2,False,126,moyen,True
12,1121,89,2025-04-16 21:17:31.312543,logement,msa,visio,65,4,False,1479,complexe,False
13,389,104,2025-04-25 14:42:56.246194,social,justice,visio,56,5,True,1025,moyen,True
14,2110,17,2025-04-24 19:13:52.222764,retraite,ants,numerique,57,1,False,552,simple,True
15,3084,147,2024-09-11 10:26:51.362427,services_postaux,cpam,visio,48,5,True,153,complexe,True
16,885,9,2025-03-28 22:48:29.898940,social,caf,numerique,101,2,True,673,simple,True
17,83,59,2024-07-31 08:36:25.523057,sante,msa,numerique,45,3,False,1042,simple,False
18,1785,125,2024-10-23 03:41:50.602402,retraite,pole_emploi,visio,102,5,False,132,complexe,True
19,41,179,2024-08-31 20:54:18.507496,energie,pole_emploi,telephone,47,2,False,371,complexe,True
20,707,289,2024-11-16 20:21:12.173341,acces_droit,ants,numerique,76,3,True,1126,moyen,False
21,207,299,2025-05-07 21:57:14.974298,logement,cnav,telephone,47,4,False,186,moyen,False
22,1270,293,2025-05-25 16:41:00.787490,services_postaux,cpam,telephone,74,2,False,1405,simple,False
23,4776,214,2025-01-06 20:38:52.961419,retraite,la_poste,numerique,82,4,True,200,complexe,False
24,2162,76,2024-09-30 06:46:30.216733,logement,justice,physique,58,4,False,876,moyen,False
25,1595,121,2024-09-10 12:45:07.017170,acces_droit,ants,telephone,106,2,True,1371,moyen,False
26,4471,66,2024-08-02 12:05:09.372063,emploi,cnav,physique,104,5,False,383,moyen,True
27,1232,274,2024-09-05 21:18:11.706338,famille,caf,visio,78,2,True,1319,complexe,False
28,428,4,2024-09-06 11:41:11.856045,retraite,ants,numerique,22,4,True,1231,complexe,True
29,1436,41,2025-06-28 08:01:30.468314,famille,cpam,numerique,119,5,True,481,complexe,False
30,4355,8,2025-05-22 12:40:28.654512,acces_droit,msa,telephone,62,4,False,994,moyen,True
31,3680,173,2025-06-16 13:56:30.243580,services_postaux,pole_emploi,physique,109,3,False,940,complexe,True
32,625,216,2024-08-01 05:55:44.873434,social,caf,telephone,59,2,False,576,complexe,False
33,128,98,2025-01-25 07:23:43.559038,logement,justice,telephone,108,4,True,848,moyen,True
34,4184,61,2025-07-02 16:08:44.885242,services_postaux,caf,numerique,90,2,True,12,complexe,True
35,1604,166,2025-03-22 21:50:14.762924,acces_droit,cnav,visio,65,3,False,1026,moyen,True
36,2414,216,2024-10-17 12:32:35.305960,energie,ants,telephone,95,1,False,381,complexe,True
37,4761,118,2025-01-12 00:24:43.905933,services_postaux,caf,physique,19,3,True,1355,moyen,False
38,4807,22,2025-04-14 15:07:20.955924,logement,caf,physique,111,4,True,1457,moyen,True
39,4336,62,2024-11-12 01:41:13.296059,social,la_poste,visio,68,3,False,8,simple,False
40,4827,79,2024-09-08 05:04:22.599094,retraite,caf,physique,36,5,True,857,complexe,True
41,3319,18,2024-11-07 11:04:46.220009,emploi,cpam,physique,118,2,False,433,complexe,False
42,2188,47,2025-06-14 09:04:52.777209,energie,cpam,physique,41,1,True,28,complexe,False
43,2940,223,2024-11-13 03:33:30.591514,famille,ants,numerique,38,5,False,456,simple,False
44,12,284,2025-03-03 11:31:21.694601,famille,cpam,telephone,48,5,False,635,simple,False
45,2363,156,2024-08-17 08:04:14.321023,retraite,justice,physique,53,2,True,745,moyen,True
46,601,163,2024-10-30 10:45:09.814950,sante,caf,physique,105,3,False,644,moyen,False
47,1566,290,2024-09-27 01:18:34.254401,famille,la_poste,telephone,53,4,True,83,complexe,False
48,4706,158,2025-02-03 19:02:17.678077,energie,justice,numerique,59,2,False,586,complexe,False
49,2611,173,2024-07-30 03:06:56.052669,acces_droit,msa,visio,31,2,True,990,moyen,False
50,1863,89,2025-06-01 00:53:25.273650,emploi,msa,telephone,71,5,False,739,simple,True
51,1072,283,2024-09-30 23:31:07.250302,social,msa,numerique,106,2,False,1350,complexe,True
52,2124,268,2025-02-09 21:39:49.502989,famille,cpam,physique,102,5,False,448,moyen,True
53,1991,249,2024-07-27 16:32:11.968295,sante,cnav,numerique,90,3,True,488,moyen,False
54,4558,170,2024-09-08 20:26:15.556243,sante,ants,telephone,105,2,False,288,simple,False
55,1408,159,2024-08-09 11:28:04.036654,services_postaux,pole_emploi,physique,41,3,False,513,simple,False
56,787,116,2024-10-02 21:11:39.070680,retraite,justice,physique,75,2,True,1047,simple,False
57,61,79,2025-03-20 11:16:09.370335,emploi,caf,numerique,38,3,True,456,complexe,True
58,2074,231,2024-10-07 20:07:43.777001,famille,cnav,telephone,62,5,False,774,simple,False
59,1888,36,2024-12-13 05:33:37.440594,retraite,ants,visio,69,2,False,967,simple,False
60,1288,199,2024-12-27 15:00:57.851178,acces_droit,msa,physique,19,3,True,493,complexe,False
61,2092,194,2025-06-10 01:49:46.794480,energie,caf,physique,116,1,True,1160,simple,False
62,1010,278,2025-05-08 08:26:07.748119,retraite,justice,telephone,68,2,True,421,simple,True
63,2110,157,2025-05-18 08:12:41.212514,sante,la_poste,physique,31,4,False,1499,moyen,False
64,1935,73,2024-11-04 07:21:46.201705,retraite,cnav,numerique,30,2,True,235,simple,True
65,2368,199,2025-03-09 09:13:06.783571,retraite,msa,visio,34,1,False,1234,complexe,False
66,3103,104,2024-08-09 16:07:33.509560,energie,msa,visio,86,1,True,1415,complexe,False
67,3905,189,2025-04-16 09:51:34.210230,acces_droit,la_poste,visio,97,4,False,635,moyen,True
68,448,85,2024-11-17 09:32:10.823192,energie,caf,numerique,69,2,False,1134,complexe,False
69,1417,289,2024-11-25 01:55:14.996248,services_postaux,la_poste,physique,35,3,False,280,simple,False
70,2971,272,2025-04-25 18:32:24.214576,logement,cnav,visio,25,1,False,982,complexe,False
71,2420,292,2024-11-13 10:51:47.949261,retraite,msa,visio,108,2,False,972,complexe,False
72,4499,217,2025-01-12 19:08:12.053250,retraite,pole_emploi,visio,59,2,False,1191,moyen,False
73,4360,237,2025-01-05 01:20:09.562865,social,pole_emploi,physique,15,5,True,152,simple,False
74,2837,297,2025-04-05 14:02:14.459546,emploi,msa,physique,111,2,False,1084,moyen,True
75,4538,90,2024-10-02 16:17:07.505633,social,cnav,numerique,23,5,False,1257,moyen,False
