id,service,sous_service,complexite,volume_mensuel_moyen,duree_moyenne_traitement,taux_resolution,satisfaction_moyenne,formation_requise
1,emploi,inscription_pole_emploi,simple,367,57,0.74,4.13,intermediaire
2,emploi,actualisation_situation,simple,77,95,0.86,3.48,avancee
3,emploi,recherche_formation,moyen,199,114,0.86,4.09,avancee
4,retraite,simulation_retraite,moyen,287,18,0.77,4.69,intermediaire
5,retraite,dossier_retraite,complexe,102,93,0.72,4.43,avancee
6,famille,caf_allocations,moyen,448,54,0.93,4.29,avancee
7,famille,prime_naissance,simple,425,67,0.95,3.6,intermediaire
8,social,rsa,complexe,213,22,0.81,3.44,base
9,social,aide_logement,moyen,268,119,0.79,3.73,avancee
10,sante,carte_vitale,simple,392,34,0.85,3.21,avancee
11,sante,remboursement_soins,moyen,265,73,0.78,4.54,base
12,logement,demande_HLM,complexe,286,58,0.78,4.48,base
13,energie,cheque_energie,simple,79,66,0.81,3.95,base
14,services_postaux,colis_recommande,simple,493,64,0.85,3.95,base
15,acces_droit,aide_juridictionnelle,complexe,426,53,0.86,3.56,avancee
