id,maison_fs_id,mois,annee,nb_demandes,nb_demandes_resolues,temps_moyen_resolution,satisfaction_moyenne,nb_usagers_uniques,nb_nouveaux_usagers,taux_retour_usagers
1,1,7,2025,286,235,28,4.74,219,35,0.41
2,2,7,2025,330,288,38,4.45,227,47,0.68
3,3,7,2025,165,132,38,3.71,82,11,0.33
4,4,7,2025,121,110,57,3.6,188,34,0.41
5,5,7,2025,75,63,54,3.96,266,17,0.54
6,6,7,2025,327,271,23,3.86,244,38,0.57
7,7,7,2025,214,184,69,4.14,265,31,0.56
8,8,7,2025,81,73,74,3.81,260,31,0.4
9,9,7,2025,191,159,67,3.99,224,13,0.62
10,10,7,2025,339,307,61,4.73,213,43,0.56
11,11,7,2025,135,118,33,4.42,177,22,0.67
12,12,7,2025,224,208,54,3.98,292,37,0.57
13,13,7,2025,79,65,86,3.89,163,39,0.34
14,14,7,2025,258,233,56,4.29,201,18,0.5
15,15,7,2025,307,287,77,4.76,173,11,0.55
16,16,7,2025,301,281,30,4.3,171,41,0.68
17,17,7,2025,281,240,43,4.26,255,48,0.41
18,18,7,2025,286,253,36,3.96,136,31,0.55
19,19,7,2025,289,265,56,4.06,250,14,0.48
20,20,7,2025,125,114,37,3.77,192,12,0.58
21,21,7,2025,93,78,81,3.88,83,48,0.34
22,22,7,2025,147,132,86,3.53,121,39,0.7
23,23,7,2025,133,118,26,4.54,149,12,0.64
24,24,7,2025,191,180,85,3.58,82,12,0.65
25,25,7,2025,235,201,36,4.5,218,13,0.37
26,26,7,2025,246,219,90,3.64,274,24,0.48
27,27,7,2025,253,228,22,4.58,200,12,0.66
28,28,7,2025,338,320,76,4.18,226,32,0.47
29,29,7,2025,179,166,21,4.57,142,27,0.59
30,30,7,2025,197,183,35,3.79,256,27,0.32
31,31,7,2025,252,209,40,4.24,235,32,0.68
32,32,7,2025,118,99,74,4.2,167,28,0.56
33,33,7,2025,243,194,72,4.56,133,24,0.58
34,34,7,2025,194,164,35,3.66,254,21,0.55
35,35,7,2025,319,285,54,4.38,295,24,0.49
36,36,7,2025,339,278,39,4.73,215,12,0.43
37,37,7,2025,91,85,74,3.51,258,32,0.67
38,38,7,2025,128,103,73,4.44,81,14,0.6
39,39,7,2025,96,86,79,3.72,274,19,0.34
40,40,7,2025,130,106,62,3.83,290,45,0.69
41,41,7,2025,317,300,20,3.67,239,31,0.46
42,42,7,2025,348,305,62,3.81,195,38,0.52
43,43,7,2025,195,156,84,4.54,111,19,0.44
44,44,7,2025,105,96,47,4.34,188,18,0.54
45,45,7,2025,226,186,36,4.38,109,22,0.58
46,46,7,2025,248,219,67,3.56,144,21,0.51
47,47,7,2025,281,227,32,3.69,237,28,0.38
48,48,7,2025,284,261,67,4.3,224,36,0.55
