id,demande_id,temps_attente_minutes,heure_demande,jour_semaine,canal_utilise,priorite
1,1,19,17,jeudi,numerique,normale
2,2,38,13,lundi,telephone,urgente
3,3,9,17,lundi,visio,faible
4,4,21,9,vendredi,numerique,normale
5,5,33,12,vendredi,telephone,faible
6,6,20,17,vendredi,numerique,urgente
7,7,13,16,jeudi,visio,faible
8,8,7,11,mercredi,physique,urgente
9,9,5,9,vendredi,telephone,urgente
10,10,4,18,mardi,numerique,faible
11,11,23,9,lundi,physique,urgente
12,12,30,12,mardi,visio,normale
13,13,15,15,mardi,numerique,normale
14,14,16,15,mercredi,numerique,normale
15,15,18,18,mercredi,visio,normale
16,16,5,9,mardi,physique,faible
17,17,16,13,lundi,telephone,normale
18,18,30,13,mercredi,telephone,urgente
19,19,18,12,jeudi,telephone,faible
20,20,28,14,lundi,physique,urgente
21,21,31,13,vendredi,visio,faible
22,22,16,15,jeudi,physique,urgente
23,23,20,18,lundi,visio,urgente
24,24,20,13,lundi,visio,faible
25,25,6,10,lundi,telephone,urgente
26,26,14,10,vendredi,visio,faible
27,27,18,10,vendredi,physique,normale
28,28,36,12,vendredi,numerique,faible
29,29,9,9,mercredi,numerique,faible
30,30,41,14,lundi,numerique,normale
31,31,13,15,mardi,visio,urgente
32,32,38,14,lundi,telephone,urgente
33,33,6,18,vendredi,visio,urgente
34,34,17,10,jeudi,numerique,normale
35,35,9,17,lundi,visio,faible
36,36,30,12,vendredi,numerique,faible
37,37,37,14,vendredi,physique,normale
38,38,13,15,mercredi,telephone,normale
39,39,16,10,mercredi,physique,faible
40,40,21,13,jeudi,physique,faible
41,41,30,14,vendredi,physique,normale
42,42,31,12,lundi,telephone,normale
43,43,14,8,vendredi,numerique,normale
44,44,3,18,mercredi,visio,faible
45,45,6,16,lundi,numerique,faible
46,46,20,13,mercredi,numerique,normale
47,47,28,14,lundi,numerique,normale
48,48,3,8,mardi,telephone,normale
49,49,20,14,mardi,physique,urgente
50,50,12,8,vendredi,telephone,faible
51,51,41,14,jeudi,visio,normale
52,52,15,13,mercredi,physique,urgente
53,53,16,14,mardi,visio,faible
54,54,22,12,jeudi,physique,urgente
55,55,8,15,vendredi,telephone,urgente
56,56,23,14,vendredi,physique,faible
57,57,15,16,mardi,physique,urgente
58,58,37,14,mardi,telephone,urgente
59,59,12,10,vendredi,physique,faible
60,60,17,15,mardi,visio,urgente
61,61,13,10,mercredi,numerique,faible
62,62,3,18,vendredi,visio,faible
63,63,16,16,mercredi,physique,normale
64,64,28,14,jeudi,numerique,normale
65,65,38,13,mercredi,visio,normale
66,66,8,17,lundi,physique,normale
67,67,5,8,jeudi,visio,faible
68,68,19,11,vendredi,physique,urgente
69,69,17,16,mardi,visio,urgente
70,70,4,8,lundi,numerique,urgente
71,71,20,18,lundi,physique,faible
72,72,13,15,lundi,physique,normale
73,73,11,15,jeudi,numerique,urgente
74,74,38,13,lundi,physique,faible
75,75,23,11,vendredi,numerique,normale
76,76,16,18,jeudi,physique,faible
77,77,11,9,mardi,visio,faible
78,78,16,9,lundi,visio,faible
79,79,34,13,jeudi,visio,faible
80,80,23,13,mercredi,numerique,faible
81,81,44,13,mercredi,visio,faible
82,82,15,11,mardi,telephone,faible
83,83,6,9,mercredi,physique,normale
84,84,8,10,jeudi,visio,faible
85,85,32,12,mardi,telephone,normale
86,86,6,11,mercredi,numerique,normale
87,87,20,15,vendredi,physique,faible
88,88,5,15,vendredi,physique,urgente
89,89,20,9,mercredi,physique,faible
90,90,17,15,lundi,physique,faible
91,91,10,9,mardi,telephone,normale
92,92,14,16,mercredi,numerique,faible
93,93,13,9,mercredi,telephone,normale
94,94,4,17,mercredi,visio,faible
95,95,20,10,jeudi,physique,faible
96,96,5,8,vendredi,numerique,faible
97,97,37,13,lundi,visio,normale
98,98,23,12,mardi,numerique,normale
99,99,8,16,mardi,physique,normale
100,100,12,9,vendredi,physique,urgente
101,101,34,14,mardi,visio,faible
102,102,39,14,mercredi,physique,faible
103,103,9,9,mardi,telephone,normale
104,104,11,8,mardi,telephone,urgente
105,105,8,11,mardi,physique,urgente
106,106,6,10,jeudi,numerique,normale
107,107,3,16,vendredi,visio,faible
108,108,18,17,lundi,visio,urgente
109,109,8,15,mardi,visio,urgente
110,110,25,9,mercredi,physique,urgente
111,111,10,15,jeudi,physique,faible
112,112,13,18,jeudi,numerique,faible
113,113,20,17,vendredi,visio,normale
114,114,6,9,mardi,physique,faible
115,115,3,15,mardi,telephone,urgente
116,116,38,14,jeudi,visio,faible
117,117,11,9,mercredi,physique,normale
118,118,18,14,vendredi,numerique,faible
119,119,7,18,mercredi,physique,normale
120,120,16,16,mercredi,numerique,urgente
121,121,7,8,lundi,visio,normale
122,122,17,11,jeudi,visio,urgente
123,123,11,11,mardi,telephone,urgente
124,124,3,18,vendredi,visio,urgente
125,125,22,12,mercredi,telephone,faible
126,126,15,18,jeudi,physique,normale
127,127,14,15,lundi,visio,faible
128,128,32,12,mardi,physique,urgente
129,129,30,12,lundi,visio,urgente
130,130,21,9,vendredi,numerique,normale
131,131,22,12,mardi,telephone,faible
132,132,15,16,lundi,numerique,normale
133,133,10,11,mercredi,visio,faible
134,134,35,13,vendredi,physique,urgente
135,135,7,18,mercredi,telephone,urgente
136,136,11,8,jeudi,visio,normale
137,137,14,17,mardi,telephone,urgente
138,138,7,11,mardi,visio,faible
139,139,4,18,jeudi,visio,normale
140,140,8,15,lundi,physique,urgente
141,141,4,17,jeudi,physique,faible
142,142,17,18,lundi,visio,faible
143,143,44,12,vendredi,numerique,normale
144,144,10,18,vendredi,visio,faible
145,145,17,9,vendredi,numerique,normale
