id,age,genre,situation_familiale,niveau_numerique,code_postal,ville,date_inscription,frequence_visite
1,31,M,marie,debutant,54382,Sainte Bertrand,2024-07-08,regulier
2,80,F,concubinage,intermediaire,47990,Lefortboeuf,2024-08-30,occasionnel
3,31,F,concubinage,intermediaire,18473,Vaillant-la-Forêt,2023-12-14,occasionnel
4,21,F,celibataire,intermediaire,14848,Lebrun,2024-12-23,nouveau
5,32,M,concubinage,intermediaire,24881,Laine,2023-11-20,occasionnel
6,28,F,divorce,intermediaire,57351,GillesVille,2025-05-24,regulier
7,78,M,concubinage,intermediaire,10465,Georges-sur-Breton,2024-01-03,nouveau
8,24,M,celibataire,avance,62968,GuilbertBourg,2025-04-21,occasionnel
9,33,F,marie,avance,28954,Collindan,2024-02-13,nouveau
10,85,M,marie,avance,49809,Saint Brigitte,2025-02-25,nouveau
11,48,M,marie,debutant,56288,Sainte Hélène,2024-05-05,occasionnel
12,60,M,marie,avance,63459,Dos Santos,2023-09-22,regulier
13,64,M,marie,debutant,39338,Breton,2024-06-11,regulier
14,62,M,celibataire,debutant,62371,Martin-la-Forêt,2023-10-09,regulier
15,47,F,celibataire,debutant,04604,Sainte Lorraine,2024-10-05,regulier
16,67,F,divorce,intermediaire,75754,RoyBourg,2023-12-15,nouveau
17,64,F,marie,debutant,63240,Berger,2025-07-05,regulier
18,46,M,concubinage,avance,01434,Gaudin-la-Forêt,2025-01-15,occasionnel
19,79,M,veuf,avance,31600,Joly,2024-12-20,nouveau
20,76,F,concubinage,intermediaire,20240,Hebert,2025-06-12,regulier
21,64,F,marie,intermediaire,51801,Bousquet,2023-09-11,occasionnel
22,49,F,concubinage,avance,85826,Chauveau-sur-Mer,2025-02-04,nouveau
23,48,F,celibataire,intermediaire,66490,Sainte Luce,2025-02-10,regulier
24,49,M,celibataire,avance,13938,Roy-sur-Allain,2024-02-22,occasionnel
25,53,F,concubinage,avance,77394,Valette-sur-Mer,2023-09-13,regulier
26,79,M,veuf,debutant,53295,Sainte Cécileboeuf,2025-05-21,nouveau
27,82,F,celibataire,intermediaire,36446,Imbert,2024-09-07,regulier
28,85,F,marie,intermediaire,56419,Carlier-les-Bains,2024-01-17,regulier
29,45,M,celibataire,intermediaire,51953,Grondin,2024-12-17,occasionnel
30,60,M,marie,debutant,94166,Leclercq,2024-01-28,occasionnel
31,65,M,veuf,debutant,32320,LerouxBourg,2023-12-25,occasionnel
32,83,M,divorce,avance,16620,Michel,2023-09-08,occasionnel
33,50,M,veuf,debutant,27899,Chauveau-les-Bains,2025-02-19,nouveau
34,53,M,divorce,debutant,35531,Jourdandan,2024-04-01,nouveau
35,69,M,concubinage,intermediaire,91270,Charrierboeuf,2025-04-16,occasionnel
36,39,F,divorce,intermediaire,28697,Lefèvre,2024-03-28,nouveau
37,56,F,marie,intermediaire,89556,Dumas-sur-Mer,2024-12-18,occasionnel
38,29,M,divorce,avance,32553,Sainte Clémence,2025-04-06,occasionnel
39,22,M,divorce,debutant,84786,De Sousa,2023-11-03,nouveau
40,44,F,celibataire,intermediaire,72189,Verdier,2023-09-26,occasionnel
41,47,F,divorce,avance,05181,Hoareau-sur-Mer,2024-02-25,occasionnel
42,56,M,celibataire,avance,08213,Evrard-sur-Mer,2024-06-19,regulier
43,22,M,celibataire,avance,71573,Blin,2025-05-16,regulier
44,83,F,concubinage,intermediaire,49244,Boutin-sur-Chauveau,2023-07-30,regulier
45,83,F,concubinage,debutant,84274,Lemonnier,2023-10-18,nouveau
46,23,F,divorce,avance,65801,Moreno,2024-06-30,regulier
47,54,M,concubinage,avance,28724,Olivierdan,2024-03-30,occasionnel
48,25,F,divorce,avance,92733,Saint Diane-la-Forêt,2024-08-29,nouveau
49,71,F,concubinage,intermediaire,50254,Saint Dominique,2025-02-19,regulier
50,37,F,celibataire,debutant,28841,Guillonboeuf,2024-01-02,nouveau
51,21,M,divorce,intermediaire,97229,Bonnin,2023-08-19,occasionnel
52,71,M,divorce,avance,63261,AlexandreBourg,2024-03-16,nouveau
53,47,M,divorce,intermediaire,95828,Lecomte,2025-07-05,regulier
54,24,F,concubinage,avance,32156,Pruvost,2023-10-25,nouveau
55,25,M,concubinage,intermediaire,20677,Carpentier,2023-10-08,nouveau
56,71,F,veuf,avance,87368,Perret,2024-09-15,regulier
57,72,F,veuf,debutant,97479,Saint Thomas,2025-02-12,regulier
58,56,F,divorce,intermediaire,80365,Sainte Suzanne-la-Forêt,2023-12-10,occasionnel
59,54,M,celibataire,debutant,68746,Sainte Susan,2024-06-24,occasionnel
60,56,F,celibataire,debutant,93666,Fleury,2023-09-05,regulier
61,50,M,concubinage,intermediaire,13954,Dumasnec,2023-08-07,regulier
62,43,F,concubinage,intermediaire,15913,LaineVille,2024-09-18,occasionnel
63,55,M,veuf,avance,26947,Robin,2024-01-06,occasionnel
64,46,F,concubinage,avance,92436,Michaud,2024-11-25,regulier
65,49,F,celibataire,debutant,26899,Sainte Aiméeboeuf,2024-02-01,nouveau
66,33,M,concubinage,avance,56305,Lecoq,2025-06-03,regulier
